head,tail,relation,note
rs28371706,"[['nevirapine', '(PA450616)']]",decreased clearance of,
rs28371706,"[['CYP2D6', '(PA128)']]",belongs to,
rs2472677,"[['NR1I2', '(PA378)']]",belongs to,
rs1051740,"[['carbamazepine', '(PA448785)']]",increased dose of,
rs1051740,"[['EPHX1', '(PA27829)']]",belongs to,
rs2234922,"[['carbamazepine', '(PA448785)']]",increased dose of,
rs2234922,"[['EPHX1', '(PA27829)']]",belongs to,
rs113420705,"[['Immunoglobulins', '(PA164712817)']]",decreased response to,
rs113420705,"[['CASP3', '(PA26087)'], ['PRIMPOL', '(PA145008751)']]",belongs to,
"CYP2C9*1, CYP2C9*3","[['warfarin', '(PA451906)']]",decreased dose of,
"CYP2C9*1, CYP2C9*3","[['CYP2C9', '(PA126)']]",belongs to,
rs2273697,"[['ABCC2', '(PA116)']]",belongs to,
"ABCC2 H12, ABCC2 H2","[['ABCC2', '(PA116)']]",belongs to,
rs1048943,"[['CYP1A1', '(PA27092)']]",belongs to,
rs2069514,"[['CYP1A2', '(PA27093)']]",belongs to,
rs762551,"[['CYP1A2', '(PA27093)']]",belongs to,
rs60711313,"[['CYP2A6', '(PA121)']]",belongs to,
rs4986910,"[['CYP3A4', '(PA130)']]",belongs to,
rs1045642,"[['ABCB1', '(PA267)']]",belongs to,
rs72558187,"[['CYP2C9', '(PA126)']]",belongs to,
rs1045642,"[['ABCB1', '(PA267)']]",belongs to,
rs3745274,"[['nevirapine', '(PA450616)']]",decreased clearance of,
rs3745274,"[['CYP2B6', '(PA123)']]",belongs to,
rs1979277,"[['SHMT1', '(PA35753)']]",belongs to,
rs45445694,"[['C18orf56', '(PA134956204)'], ['TYMS', '(PA359)']]",belongs to,
rs1127354,"[['ITPA', '(PA29973)']]",belongs to,
CYP2D6 poor metabolizer,"[['atomoxetine', '(PA134688071)']]",decreased dose of,
CYP2D6 poor metabolizer,"[['CYP2D6', '(PA128)']]",belongs to,
rs717620,"[['ABCC2', '(PA116)']]",belongs to,
rs2740574,"[['tacrolimus', '(PA451578)']]",increased dose of,
rs2740574,"[['CYP3A4', '(PA130)']]",belongs to,
rs17602729,"[['AMPD1', '(PA24776)']]",belongs to,
rs2236225,"[['MTHFD1', '(PA31236)']]",belongs to,
rs151264360,"[['TYMS', '(PA359)']]",belongs to,
rs5031017,"[['nicotine', '(PA450626)']]",decreased metabolism of,
rs5031017,"[['CYP2A6', '(PA121)']]",belongs to,
CYP2A6*2,"[['nicotine', '(PA450626)']]",decreased metabolism of,
CYP2A6*2,"[['CYP2A6', '(PA121)']]",belongs to,
rs9934438,"[['warfarin', '(PA451906)']]",increased dose of,
rs9934438,"[['VKORC1', '(PA133787052)']]",belongs to,
rs11200638,"[['bevacizumab', '(PA130232992)']]",decreased response to,
rs11200638,"[['HTRA1', '(PA33829)']]",belongs to,
rs3758785,"[['hydrochlorothiazide', '(PA449899)']]",decreased response to,
rs3758785,"[['GPR83', '(PA28927)']]",belongs to,
rs121434568,"[['gefitinib', '(PA131301952)']]",increased response to,
rs121434568,"[['EGFR', '(PA7360)']]",belongs to,
rs11100483,"[['perphenazine', '(PA450882)']]",response to,
rs11100483,"[['MAML3', '(PA134953776)']]",belongs to,
rs3819811,"[['olanzapine', '(PA450688)']]",response to,
rs3819811,"[['PLAGL1', '(PA33379)']]",belongs to,
rs17070785,"[['olanzapine', '(PA450688)']]",response to,
rs17070785,"[['CSMD1', '(PA26947)']]",belongs to,
rs104894542,"[['warfarin', '(PA451906)']]",increased dose of,
rs104894542,"[['VKORC1', '(PA133787052)']]",belongs to,
rs1128503,"[['doxorubicin', '(PA449412)']]",decreased metabolism of,
rs1128503,"[['ABCB1', '(PA267)']]",belongs to,
rs45445694,"[['TYMS', '(PA359)']]",belongs to,
rs12003906,"[['atorvastatin', '(PA448500)'], ['pravastatin', '(PA451089)'], ['simvastatin', '(PA451363)']]",decreased response to,
rs12003906,"[['ABCA1', '(PA24373)']]",belongs to,
rs1523130,"[['NR1I2', '(PA378)']]",belongs to,
rs2231148,"[['ABCG2', '(PA390)']]",belongs to,
rs11545078,"[['GGH', '(PA432)']]",belongs to,
rs1051266,"[['SLC19A1', '(PA327)']]",belongs to,
rs3755047,"[['ABCB6', '(PA24388)']]",belongs to,
rs2032582,"[['ABCB1', '(PA267)']]",belongs to,
rs1051740,"[['carbamazepine', '(PA448785)']]",increased dose of,
rs1051740,"[['EPHX1', '(PA27829)']]",belongs to,
rs9923231,"[['warfarin', '(PA451906)']]",decreased dose of,
rs9923231,"[['VKORC1', '(PA133787052)']]",belongs to,
ABCC2 H2,"[['ABCC2', '(PA116)']]",belongs to,
rs9923231,"[['warfarin', '(PA451906)']]",dose of,
rs9923231,"[['VKORC1', '(PA133787052)']]",belongs to,
rs71647871,"[['CES1', '(PA107)']]",belongs to,
CYP2C9*2,"[['warfarin', '(PA451906)']]",dose of,
CYP2C9*2,"[['CYP2C9', '(PA126)']]",belongs to,
"CYP2C8*1A, CYP2C8*3","[['CYP2C8', '(PA125)']]",belongs to,
rs104894542,"[['warfarin', '(PA451906)']]",increased dose of,
rs104894542,"[['VKORC1', '(PA133787052)']]",belongs to,
rs776746,"[['tacrolimus', '(PA451578)']]",decreased clearance of,
rs776746,"[['CYP3A5', '(PA131)']]",belongs to,
rs61742245,"[['warfarin', '(PA451906)']]",increased dose of,
rs61742245,"[['VKORC1', '(PA133787052)']]",belongs to,
rs2108622,"[['CYP4F2', '(PA27121)']]",belongs to,
rs1128503,"[['dexamethasone', '(PA449247)'], ['diphenhydramine', '(PA449349)'], ['paclitaxel', '(PA450761)'], ['ranitidine', '(PA451224)']]",increased response to,
rs1128503,"[['ABCB1', '(PA267)']]",belongs to,
CYP2A6*1A,"[['CYP2A6', '(PA121)']]",belongs to,
CYP2C9*1,"[['warfarin', '(PA451906)']]",increased dose of,
CYP2C9*1,"[['CYP2C9', '(PA126)']]",belongs to,
CYP2C19*1,"[['CYP2C19', '(PA124)']]",belongs to,
rs2960306,"[['metoprolol', '(PA450480)']]",decreased response to,
rs2960306,"[['GRK4', '(PA28941)']]",belongs to,
rs1024323,"[['metoprolol', '(PA450480)']]",decreased response to,
rs1024323,"[['GRK4', '(PA28941)']]",belongs to,
rs1024323,"[['GRK4', '(PA28941)']]",belongs to,
rs1801058,"[['metoprolol', '(PA450480)']]",decreased response to,
rs1801058,"[['GRK4', '(PA28941)']]",belongs to,
rs1799853,"[['CYP2C9', '(PA126)']]",belongs to,
rs1057910,"[['celecoxib', '(PA448871)']]",decreased clearance of,
rs1057910,"[['CYP2C9', '(PA126)']]",belongs to,
rs1045642,"[['ABCB1', '(PA267)']]",belongs to,
rs1045642,"[['ABCB1', '(PA267)']]",belongs to,
rs1045642,"[['ABCB1', '(PA267)']]",belongs to,
rs1000002,"[['ABCC5', '(PA395)']]",belongs to,
rs2139560,"[['ABCC5', '(PA395)']]",belongs to,
rs3792581,"[['ABCC5', '(PA395)']]",belongs to,
rs2293001,"[['ABCC5', '(PA395)']]",belongs to,
rs4148557,"[['ABCC5', '(PA395)']]",belongs to,
rs1045642,"[['ABCB1', '(PA267)']]",belongs to,
rs1005510,"[['SERPING1', '(PA35029)']]",belongs to,
rs3109823,"[['ABCG2', '(PA390)']]",belongs to,
rs3219191,"[['ABCG2', '(PA390)']]",belongs to,
rs2231142,"[['ABCG2', '(PA390)']]",belongs to,
rs2230345,"[['Beta', 'Blocking', 'Agents', '(PA164712535)']]",response to,
rs2230345,"[['GRK5', '(PA180)']]",belongs to,
rs1057910,"[['CYP2C9', '(PA126)']]",belongs to,
rs833069,"[['VEGFA', '(PA37302)']]",belongs to,
rs1315115,"[['risperidone', '(PA451257)']]",response to,
rs1315115,"[['NPAS3', '(PA134968746)']]",belongs to,
rs2116971,"[['perphenazine', '(PA450882)']]",response to,
rs2116971,"[['CDH13', '(PA26287)']]",belongs to,
rs9952628,"[['perphenazine', '(PA450882)']]",response to,
rs9952628,"[['SKOR2', '(PA165429121)']]",belongs to,
rs4925300,"[['ziprasidone', '(PA451974)']]",response to,
rs4925300,"[['CDH4', '(PA26300)']]",belongs to,
rs1799853,"[['warfarin', '(PA451906)']]",decreased dose of,
rs1799853,"[['CYP2C9', '(PA126)']]",belongs to,
rs104894539,"[['warfarin', '(PA451906)']]",increased dose of,
rs104894539,"[['VKORC1', '(PA133787052)']]",belongs to,
rs1801019,"[['UMPS', '(PA363)']]",belongs to,
rs963468,"[['duloxetine', '(PA10066)']]",decreased response to,
rs963468,"[['DRD3', '(PA27479)']]",belongs to,
"CYP2D6*1, CYP2D6*10","[['tamoxifen', '(PA451581)']]",increased dose of,
"CYP2D6*1, CYP2D6*10","[['CYP2D6', '(PA128)']]",belongs to,
rs3918290,"[['fluorouracil', '(PA128406956)']]",decreased metabolism of,
rs3918290,"[['DPYD', '(PA145)']]",belongs to,
rs3740066,"[['ABCC2', '(PA116)']]",belongs to,
rs8180093,"[['ABCC5', '(PA395)']]",belongs to,
rs3805111,"[['ABCC5', '(PA395)']]",belongs to,
rs2293001,"[['ABCC5', '(PA395)']]",belongs to,
rs4148572,"[['ABCC5', '(PA395)']]",belongs to,
rs4961,"[['ADD1', '(PA31)']]",belongs to,
rs2032582,"[['atorvastatin', '(PA448500)']]",increased response to,
rs2032582,"[['ABCB1', '(PA267)']]",belongs to,
rs2242480,"[['warfarin', '(PA451906)']]",increased clearance of,
rs2242480,"[['CYP3A4', '(PA130)']]",belongs to,
rs3814637,"[['warfarin', '(PA451906)']]",decreased clearance of,
rs3814637,"[['CYP2C19', '(PA124)']]",belongs to,
rs2032582,"[['atorvastatin', '(PA448500)']]",increased response to,
rs2032582,"[['ABCB1', '(PA267)']]",belongs to,
rs3758395,"[['ABCC2', '(PA116)']]",belongs to,
VKORC1*3,"[['warfarin', '(PA451906)']]",dose of,
VKORC1*3,"[['VKORC1', '(PA133787052)']]",belongs to,
rs2278773,"[['perphenazine', '(PA450882)']]",response to,
rs2278773,"[['PRKCE', '(PA33765)']]",belongs to,
rs9713,"[['risperidone', '(PA451257)']]",response to,
rs9713,"[['PSMD14', '(PA134957776)']]",belongs to,
rs4567028,"[['clozapine', '(PA449061)']]",decreased response to,
rs4567028,"[['GFRA2', '(PA28654)']]",belongs to,
ABCB1*2(PMID:11503014),"[['erlotinib', '(PA134687924)']]",decreased clearance of,
ABCB1*2(PMID:11503014),"[['ABCB1', '(PA267)']]",belongs to,
ABCC2 H13,"[['ABCC2', '(PA116)']]",belongs to,
rs662,"[['PON1', '(PA33529)']]",belongs to,
rs12248560,"[['clopidogrel', '(PA449053)']]",increased response to,
rs12248560,"[['CYP2C19', '(PA124)']]",belongs to,
rs4986893,"[['clopidogrel', '(PA449053)']]",decreased response to,
rs4986893,"[['CYP2C19', '(PA124)']]",belongs to,
rs4244285,"[['clopidogrel', '(PA449053)']]",decreased response to,
rs4244285,"[['CYP2C19', '(PA124)']]",belongs to,
"CYP2C9*1, CYP2C9*2","[['warfarin', '(PA451906)']]",decreased dose of,
"CYP2C9*1, CYP2C9*2","[['CYP2C9', '(PA126)']]",belongs to,
"CYP2C9*1, CYP2C9*3","[['warfarin', '(PA451906)']]",decreased dose of,
"CYP2C9*1, CYP2C9*3","[['CYP2C9', '(PA126)']]",belongs to,
"CYP2C9*1, CYP2C9*2","[['CYP2C9', '(PA126)']]",belongs to,
rs7668258,"[['UGT2B7', '(PA361)']]",belongs to,
rs717620,"[['ABCC2', '(PA116)']]",belongs to,
rs6811453,"[['cytarabine', '(PA449177)'], ['fludarabine', '(PA449655)'], ['gemtuzumab', 'ozogamicin', '(PA164749431)'], ['idarubicin', '(PA449961)']]",increased resistance to,
rs6811453,"[['ADH1A', '(PA24570)']]",belongs to,
"CYP2C9*1, CYP2C9*3","[['warfarin', '(PA451906)']]",decreased clearance of,
"CYP2C9*1, CYP2C9*3","[['CYP2C9', '(PA126)']]",belongs to,
"CYP2C9*1, CYP2C9*2","[['warfarin', '(PA451906)']]",decreased clearance of,
"CYP2C9*1, CYP2C9*2","[['CYP2C9', '(PA126)']]",belongs to,
rs3740066,"[['antiepileptics', '(PA143485705)']]",increased resistance to,
rs3740066,"[['ABCC2', '(PA116)']]",belongs to,
rs717620,"[['antiepileptics', '(PA143485705)']]",increased resistance to,
rs717620,"[['ABCC2', '(PA116)']]",belongs to,
rs1045642,"[['ABCB1', '(PA267)']]",belongs to,
rs3750117,"[['gemcitabine', '(PA449748)']]",increased clearance of,
rs3750117,"[['NT5C3A', '(PA31802)']]",belongs to,
rs680244,"[['Drugs', 'used', 'in', 'nicotine', 'dependence', '(PA164712720)']]",increased response to,
rs680244,"[['CHRNA5', '(PA26491)']]",belongs to,
rs680244,"[['Drugs', 'used', 'in', 'nicotine', 'dependence', '(PA164712720)']]",increased response to,
rs680244,"[['CHRNA5', '(PA26491)']]",belongs to,
rs16969968,"[['Drugs', 'used', 'in', 'nicotine', 'dependence', '(PA164712720)']]",increased response to,
rs16969968,"[['CHRNA3', '(PA113)'], ['CHRNA5', '(PA26491)']]",belongs to,
rs1109867,"[['ABCB6', '(PA24388)']]",belongs to,
rs1051922,"[['IFNB1', '(PA29672)']]",belongs to,
rs1801028,"[['DRD2', '(PA27478)']]",belongs to,
rs2960306,"[['GRK4', '(PA28941)']]",belongs to,
rs1042713,"[['ADRB2', '(PA39)']]",belongs to,
rs1801253,"[['ADRB1', '(PA38)']]",belongs to,
rs1045642,"[['ABCB1', '(PA267)']]",belongs to,
rs1128397,"[['clozapine', '(PA449061)']]",decreased response to,
rs1128397,"[['GFRA2', '(PA28654)']]",belongs to,
"CYP3A7*1A, CYP3A7*1C","[['cortisone', 'acetate', '(PA449130)']]",decreased dose of,
"CYP3A7*1A, CYP3A7*1C","[['CYP3A7', '(PA122)']]",belongs to,
"CYP2C19*1, CYP2C19*2, CYP2C19*3","[['esomeprazole', '(PA10075)'], ['lansoprazole', '(PA450180)'], ['omeprazole', '(PA450704)'], ['pantoprazole', '(PA450774)'], ['rabeprazole', '(PA451216)']]",decreased response to,
"CYP2C19*1, CYP2C19*2, CYP2C19*3","[['CYP2C19', '(PA124)']]",belongs to,
rs1364043,"[['fluvoxamine', '(PA449690)'], ['milnacipran', '(PA164752812)'], ['paroxetine', '(PA450801)']]",increased response to,
rs1364043,"[['HTR1A', '(PA192)']]",belongs to,
rs3918290,"[['fluorouracil', '(PA128406956)']]",decreased clearance of,
rs3918290,"[['DPYD', '(PA145)']]",belongs to,
"CYP2C9*1, CYP2C9*3","[['simvastatin', '(PA451363)'], ['warfarin', '(PA451906)']]",decreased dose of,
"CYP2C9*1, CYP2C9*3","[['CYP2C9', '(PA126)']]",belongs to,
rs800292,"[['bevacizumab', '(PA130232992)']]",decreased response to,
rs800292,"[['CFH', '(PA29261)']]",belongs to,
rs10490924,"[['bevacizumab', '(PA130232992)']]",decreased response to,
rs10490924,"[['ARMS2', '(PA162376896)']]",belongs to,
rs10801555,"[['CFH', '(PA29261)']]",belongs to,
rs3025039,"[['VEGFA', '(PA37302)']]",belongs to,
rs2230205,"[['C3', '(PA25897)']]",belongs to,
rs2511989,"[['SERPING1', '(PA35029)']]",belongs to,
rs1826909,"[['cytarabine', '(PA449177)'], ['fludarabine', '(PA449655)'], ['gemtuzumab', 'ozogamicin', '(PA164749431)'], ['idarubicin', '(PA449961)']]",increased resistance to,
rs1826909,"[['ADH1A', '(PA24570)']]",belongs to,
rs12768009,"[['nevirapine', '(PA450616)']]",decreased clearance of,
rs12768009,"[['CYP2C19', '(PA124)']]",belongs to,
rs3745274,"[['nevirapine', '(PA450616)']]",decreased clearance of,
rs3745274,"[['CYP2B6', '(PA123)']]",belongs to,
rs12943590,"[['metformin', '(PA450395)']]",decreased response to,
rs12943590,"[['SLC47A2', '(PA162403847)']]",belongs to,
rs1877724,"[['warfarin', '(PA451906)']]",decreased dose of,
rs1877724,"[['EPHX1', '(PA27829)']]",belongs to,
rs776746,"[['tacrolimus', '(PA451578)']]",increased dose of,
rs776746,"[['CYP3A5', '(PA131)']]",belongs to,
rs776746,"[['tacrolimus', '(PA451578)']]",decreased dose of,
rs776746,"[['CYP3A', '(PA27114)'], ['CYP3A5', '(PA131)']]",belongs to,
rs776746,"[['vardenafil', '(PA10229)']]",increased clearance of,
rs776746,"[['CYP3A5', '(PA131)']]",belongs to,
rs2108622,"[['phenprocoumon', '(PA450921)']]",increased dose of,
rs2108622,"[['CYP4F2', '(PA27121)']]",belongs to,
rs1150226,"[['clozapine', '(PA449061)']]",increased response to,
rs1150226,"[['HTR3A', '(PA29555)']]",belongs to,
rs1057910,"[['warfarin', '(PA451906)']]",decreased dose of,
rs1057910,"[['CYP2C9', '(PA126)']]",belongs to,
rs1057910,"[['acenocoumarol', '(PA452632)']]",decreased dose of,
rs1057910,"[['CYP2C9', '(PA126)']]",belongs to,
rs13266634,"[['repaglinide', '(PA451234)']]",increased response to,
rs13266634,"[['SLC30A8', '(PA134915546)']]",belongs to,
rs9923231,"[['warfarin', '(PA451906)']]",decreased dose of,
rs9923231,"[['VKORC1', '(PA133787052)']]",belongs to,
rs9923231,"[['acenocoumarol', '(PA452632)']]",decreased dose of,
rs9923231,"[['VKORC1', '(PA133787052)']]",belongs to,
rs4086116,"[['phenprocoumon', '(PA450921)']]",decreased dose of,
rs4086116,"[['CYP2C9', '(PA126)']]",belongs to,
rs1799853,"[['CYP2C9', '(PA126)']]",belongs to,
rs1800795,"[['Tumor', 'necrosis', 'factor', 'alpha', '(TNF-alpha)', 'inhibitors', '(PA164713366)']]",decreased response to,
rs1800795,"[['IL6', '(PA198)']]",belongs to,
rs4680,"[['fluvoxamine', '(PA449690)']]",decreased response to,
rs4680,"[['COMT', '(PA117)']]",belongs to,
rs10871454,"[['phenprocoumon', '(PA450921)']]",decreased dose of,
rs10871454,"[['STX4', '(PA36236)']]",belongs to,
ABCC2 H9,"[['ABCC2', '(PA116)']]",belongs to,
CYP2B6*6,"[['CYP2B6', '(PA123)']]",belongs to,
CYP2B6*4,"[['CYP2B6', '(PA123)']]",belongs to,
CYP2B6*9,"[['CYP2B6', '(PA123)']]",belongs to,
CYP2B6*5,"[['CYP2B6', '(PA123)']]",belongs to,
rs4149118,"[['docetaxel', '(PA449383)']]",decreased clearance of,
rs4149118,"[['SLCO1B3', '(PA35844)']]",belongs to,
rs7121,"[['cisplatin', '(PA449014)'], ['fluorouracil', '(PA128406956)']]",increased response to,
rs7121,"[['GNAS', '(PA175)']]",belongs to,
rs1056836,"[['CYP1B1', '(PA27094)']]",belongs to,
rs2108622,"[['CYP4F2', '(PA27121)']]",belongs to,
rs1799752,"[['irbesartan', '(PA450084)']]",increased response to,
rs1799752,"[['ACE', '(PA139)']]",belongs to,
rs1799752,"[['ACE', '(PA139)']]",belongs to,
rs2229437,"[['benazepril', '(PA448561)']]",decreased response to,
rs2229437,"[['PRCP', '(PA33705)']]",belongs to,
rs1799853,"[['warfarin', '(PA451906)']]",decreased dose of,
rs1799853,"[['CYP2C9', '(PA126)']]",belongs to,
rs11881222,"[['peginterferon', 'alfa-2a', '(PA164749390)'], ['ribavirin', '(PA451241)']]",increased response to,
rs11881222,"[['IFNL3', '(PA134952671)']]",belongs to,
rs8099917,"[['peginterferon', 'alfa-2b', '(PA164784024)'], ['ribavirin', '(PA451241)']]",increased response to,
rs8099917,"[['IFNL3', '(PA134952671)']]",belongs to,
rs1979277,"[['bevacizumab', '(PA130232992)'], ['fluorouracil', '(PA128406956)'], ['irinotecan', '(PA450085)'], ['leucovorin', '(PA450198)']]",increased response to,
rs1979277,"[['SHMT1', '(PA35753)']]",belongs to,
rs6265,"[['BDNF', '(PA31891)']]",belongs to,
rs2276302,"[['clozapine', '(PA449061)']]",increased response to,
rs2276302,"[['HTR3A', '(PA29555)']]",belongs to,
rs17886199,"[['warfarin', '(PA451906)']]",decreased dose of,
rs17886199,"[['PRSS53', '(PA165450635)'], ['VKORC1', '(PA133787052)']]",belongs to,
rs10919563,"[['adalimumab', '(PA10004)'], ['etanercept', '(PA449515)'], ['infliximab', '(PA452639)']]",increased response to,
rs10919563,"[['PTPRC', '(PA34011)']]",belongs to,
rs1062613,"[['clozapine', '(PA449061)']]",increased response to,
rs1062613,"[['HTR3A', '(PA29555)']]",belongs to,
rs5273,"[['PTGS2', '(PA293)']]",belongs to,
rs2740574,"[['CYP3A4', '(PA130)']]",belongs to,
rs4986910,"[['tacrolimus', '(PA451578)']]",decreased dose of,
rs4986910,"[['CYP3A4', '(PA130)']]",belongs to,
rs1045642,"[['ABCB1', '(PA267)']]",belongs to,
"ABCC2 H12, ABCC2 H2","[['atorvastatin', '(PA448500)'], ['simvastatin', '(PA451363)']]",decreased dose of,
"ABCC2 H12, ABCC2 H2","[['ABCC2', '(PA116)']]",belongs to,
rs324023,"[['duloxetine', '(PA10066)']]",decreased response to,
rs324023,"[['DRD3', '(PA27479)']]",belongs to,
rs324026,"[['duloxetine', '(PA10066)']]",decreased response to,
rs324026,"[['DRD3', '(PA27479)']]",belongs to,
rs4073,"[['bevacizumab', '(PA130232992)'], ['cyclophosphamide', '(PA449165)']]",decreased response to,
rs4073,"[['CXCL8', '(PA29841)']]",belongs to,
rs1544410,"[['VDR', '(PA37301)']]",belongs to,
rs17060812,"[['nortriptyline', '(PA450657)']]",increased response to,
rs17060812,"[['SLC39A14', '(PA134863701)']]",belongs to,
rs3812718,"[['carbamazepine', '(PA448785)']]",increased dose of,
rs3812718,"[['SCN1A', '(PA301)']]",belongs to,
rs5569,"[['SLC6A2', '(PA310)']]",belongs to,
rs28365062,"[['UGT2B7', '(PA361)']]",belongs to,
"CYP2A6*1A, CYP2A6*26","[['letrozole', '(PA450196)']]",metabolism of,
"CYP2A6*1A, CYP2A6*26","[['CYP2A6', '(PA121)']]",belongs to,
"CYP2A6*12A, CYP2A6*1A, CYP2A6*9A","[['letrozole', '(PA450196)']]",decreased clearance of,
"CYP2A6*12A, CYP2A6*1A, CYP2A6*9A","[['CYP2A6', '(PA121)']]",belongs to,
"CYP2A6*1A, CYP2A6*2, CYP2A6*9A","[['letrozole', '(PA450196)']]",decreased clearance of,
"CYP2A6*1A, CYP2A6*2, CYP2A6*9A","[['CYP2A6', '(PA121)']]",belongs to,
rs3812718,"[['carbamazepine', '(PA448785)']]",increased dose of,
rs3812718,"[['SCN1A', '(PA301)']]",belongs to,
rs396991,"[['trastuzumab', '(PA451743)']]",increased response to,
rs396991,"[['FCGR3A', '(PA28065)']]",belongs to,
rs4148157,"[['topotecan', '(PA451729)']]",increased concentrations of,
rs4148157,"[['ABCG2', '(PA390)']]",belongs to,
"CYP2A6*17, CYP2A6*26, CYP2A6*4A, CYP2A6*9","[['nicotine', '(PA450626)']]",decreased metabolism of,
"CYP2A6*17, CYP2A6*26, CYP2A6*4A, CYP2A6*9","[['CYP2A6', '(PA121)']]",belongs to,
rs1045642,"[['ABCB1', '(PA267)']]",belongs to,
"SLC6A4 HTTLPR long form (L allele), SLC6A4 HTTLPR short form (S allele)","[['paroxetine', '(PA450801)']]",increased response to,
"SLC6A4 HTTLPR long form (L allele), SLC6A4 HTTLPR short form (S allele)","[['SLC6A4', '(PA312)']]",belongs to,
rs2032582,"[['ABCB1', '(PA267)']]",belongs to,
rs4646458,"[['tacrolimus', '(PA451578)']]",dose of,
"CYP2D6*1, CYP2D6*4, CYP2D6*41","[['venlafaxine', '(PA451866)']]",decreased dose of,
"CYP2D6*1, CYP2D6*4, CYP2D6*41","[['CYP2D6', '(PA128)']]",belongs to,
rs1128503,"[['ABCB1', '(PA267)']]",belongs to,
rs2804398,"[['ABCC2', '(PA116)']]",belongs to,
rs17222589,"[['ABCC2', '(PA116)']]",belongs to,
rs3758785,"[['candesartan', '(PA448765)']]",increased response to,
rs3758785,"[['GPR83', '(PA28927)']]",belongs to,
rs2298771,"[['SCN1A', '(PA301)']]",belongs to,
rs1801058,"[['GRK4', '(PA28941)']]",belongs to,
"CYP2A6*12A, CYP2A6*1A","[['letrozole', '(PA450196)']]",decreased metabolism of,
"CYP2A6*12A, CYP2A6*1A","[['CYP2A6', '(PA121)']]",belongs to,
"CYP2A6*1A, CYP2A6*2","[['letrozole', '(PA450196)']]",decreased clearance of,
"CYP2A6*1A, CYP2A6*2","[['CYP2A6', '(PA121)']]",belongs to,
"CYP2A6*17, CYP2A6*1A, CYP2A6*35A","[['letrozole', '(PA450196)']]",decreased clearance of,
"CYP2A6*17, CYP2A6*1A, CYP2A6*35A","[['CYP2A6', '(PA121)']]",belongs to,
"CYP2A6*17, CYP2A6*1A","[['letrozole', '(PA450196)']]",decreased clearance of,
"CYP2A6*17, CYP2A6*1A","[['CYP2A6', '(PA121)']]",belongs to,
"CYP2A6*17, CYP2A6*1A","[['letrozole', '(PA450196)']]",decreased clearance of,
"CYP2A6*17, CYP2A6*1A","[['CYP2A6', '(PA121)']]",belongs to,
"CYP2A6*1A, CYP2A6*4E","[['letrozole', '(PA450196)']]",decreased clearance of,
"CYP2A6*1A, CYP2A6*4E","[['CYP2A6', '(PA121)']]",belongs to,
"CYP2A6*1A, CYP2A6*9A","[['letrozole', '(PA450196)']]",decreased clearance of,
"CYP2A6*1A, CYP2A6*9A","[['CYP2A6', '(PA121)']]",belongs to,
"CYP2A6*1A, CYP2A6*20, CYP2A6*23","[['letrozole', '(PA450196)']]",decreased clearance of,
"CYP2A6*1A, CYP2A6*20, CYP2A6*23","[['CYP2A6', '(PA121)']]",belongs to,
"CYP2A6*1A, CYP2A6*9A","[['letrozole', '(PA450196)']]",decreased clearance of,
"CYP2A6*1A, CYP2A6*9A","[['CYP2A6', '(PA121)']]",belongs to,
"CYP2A6*1A, CYP2A6*35A","[['CYP2A6', '(PA121)']]",belongs to,
rs67376798,"[['fluorouracil', '(PA128406956)']]",decreased clearance of,
rs67376798,"[['DPYD', '(PA145)']]",belongs to,
rs3842689,"[['nevirapine', '(PA450616)']]",increased clearance of,
rs3842689,"[['NR1I2', '(PA378)']]",belongs to,
"CYP2A6*17, CYP2A6*1A, CYP2A6*20","[['nicotine', '(PA450626)']]",decreased metabolism of,
"CYP2A6*17, CYP2A6*1A, CYP2A6*20","[['CYP2A6', '(PA121)']]",belongs to,
rs2070744,"[['sildenafil', '(PA451346)']]",increased response to,
rs2070744,"[['NOS3', '(PA254)']]",belongs to,
rs11045585,"[['docetaxel', '(PA449383)']]",decreased clearance of,
rs11045585,"[['SLCO1B3', '(PA35844)']]",belongs to,
rs7311358,"[['docetaxel', '(PA449383)']]",decreased clearance of,
rs7311358,"[['SLCO1B3', '(PA35844)']]",belongs to,
"VKORC1*1, VKORC1*2","[['warfarin', '(PA451906)']]",decreased dose of,
"VKORC1*1, VKORC1*2","[['VKORC1', '(PA133787052)']]",belongs to,
rs12535293,"[['CYP3A', '(PA27114)'], ['CYP3A43', '(PA427)']]",belongs to,
rs10494366,"[['repaglinide', '(PA451234)']]",increased response to,
rs10494366,"[['NOS1AP', '(PA142671259)']]",belongs to,
rs495794,"[['citalopram', '(PA449015)'], ['fluoxetine', '(PA449673)'], ['paroxetine', '(PA450801)'], ['sertraline', '(PA451333)']]",increased response to,
rs495794,"[['SRP19', '(PA36124)']]",belongs to,
rs153560,"[['citalopram', '(PA449015)'], ['fluoxetine', '(PA449673)'], ['paroxetine', '(PA450801)'], ['sertraline', '(PA451333)']]",increased response to,
rs153560,"[['REEP5', '(PA134882361)']]",belongs to,
rs1061622,"[['infliximab', '(PA452639)']]",decreased response to,
rs1061622,"[['TNFRSF1B', '(PA36610)']]",belongs to,
rs2476601,"[['PTPN22', '(PA33995)']]",belongs to,
rs7574865,"[['STAT4', '(PA36185)']]",belongs to,
rs548234,"[['PRDM1', '(PA33707)']]",belongs to,
rs622342,"[['metformin', '(PA450395)']]",decreased response to,
